name;role;pma;pfc;slot;grade;expBonus;dpfcpma
THORSTVEDT;C;1,9;1;8;54;6.13;-1
URBANSKI;C;0;1;8;33;5.89;0
VALOTI;C;0;1;8;42;6.29;0
VECINO;C;2,4;1;8;68;6.03;-1
VERDI;C;2,1;2,8;8;51;6.47;1
VIGNATO;C;0;1;8;40;6.05;0
VIGNATO S.;C;0;1;8;34;6.05;0
VOLPATO;C;2,2;1;8;38;6.72;-1
WALACE;C;2,6;4,9;8;93;6.06;2
ZACCAGNI;C;114,3;120,3;1;91;7.35;6
ZALEWSKI;C;2,5;1;8;52;6.19;-2
ZAMBO ANGUISSA;C;15,4;35,7;3;82;6.60;21
ZERBIN;C;0;1;8;38;6.35;0
ZIELINSKI;C;37,2;66,7;2;78;6.96;30
CHUKWUEZE;C;81,1;66,7;1;72;7.08;-14
PULISIC;C;68,8;48,6;2;73;6.95;-20
GUDMUNDSSON A.;C;42,6;44,6;3;89;6.63;2
REIJNDERS;C;29,3;35;4;77;6.66;6
LOFTUS-CHEEK;C;21;15,5;6;78;6.33;-5
NANDEZ;C;3,9;7,2;7;81;6.18;3
MAZZITELLI;C;1,9;1;8;88;6.00;-1
WEAH;C;39,3;30,3;4;86;6.47;-9
ARAMU;C;3,1;1,5;8;54;6.39;-1
MANCOSU;C;3;1;8;45;6.42;-2
AOUAR;C;34,6;13,3;6;68;6.42;-22
FOLORUNSHO;C;1,9;1;8;47;6.38;-1
BRESCIANINI;C;2,1;1;8;73;6.00;-1
DEIOLA;C;1,5;1;8;63;6.06;-1
GARRITANO;C;1,9;1;8;53;6.13;-1
HAOUDI;C;0;1;8;27;6.61;0
MAKOUMBOU;C;2,3;1;8;72;6.01;-1
MBOULA;C;3,3;1;8;56;5.98;-2
BOLOCA;C;2,4;1;8;55;5.96;-1
FABBIAN;C;2,4;1;8;43;6.09;-1
ORISTANIO;C;2,2;1;8;53;5.96;-1
BADELJ;C;1,9;1;8;72;5.84;-1
FRENDRUP;C;2,3;1;8;67;5.86;-1
JANKTO;C;3,5;1;8;68;5.82;-3
JAGIELLO;C;0;1;8;36;6.08;0
QUINA;C;0;1;8;41;5.98;0
KOURFALIDIS;C;0;1;8;39;6.00;0
ILING JUNIOR;C;2,5;1;8;39;5.98;-2
VIOLA;C;2;1;8;54;5.95;-1
AMATUCCI;C;0;1;8;32;6.08;0
JOSELITO;C;0;1;8;32;6.08;0
SACO;C;0;1;8;32;6.08;0
ARTHUR MELO;C;4,9;1;8;54;5.83;-4
GINEITIS;C;0;1;8;33;5.93;0
LIPANI;C;0;1;8;33;5.94;0
COULIBALY M.;C;2,4;1;8;46;5.77;-1
ZARRAGA;C;1,9;1;8;48;5.73;-1
STROOTMAN;C;2,4;1;8;72;5.64;-1
LELLA;C;0;1;8;37;5.72;0
BELARDINELLI;C;0;1;8;40;5.70;0
CAMARA E.;C;1,7;1;8;41;5.69;-1
RAFIA;C;2,6;3,2;8;59;6.36;0
GELLI;C;0;1;8;35;5.67;0
MELEGONI;C;0;1;8;46;5.62;0
ROG;C;0;1;8;15;5.84;0
EL AZZOUZI;C;1,5;1;8;41;5.57;-1
KAMADA;C;41,1;36,5;3;82;6.61;-4
MUSAH;C;4;6,3;7;79;6.18;2
THORSBY;C;2,7;1;8;52;6.11;-2
RAMADANI;C;1,9;1;8;90;5.62;-1
INFANTINO;C;1,8;1;8;33;5.78;-1
VLASIC;C;31,1;44,4;3;87;6.65;13
BAEZ;C;2,7;1;8;50;6.09;-2
MCKENNIE;C;2,3;1;8;47;5.95;-1
CROCIATA;C;0;1;8;42;5.91;0
HONGLA;C;2,4;1;8;60;5.66;-1
CAJUSTE;C;0;1;8;45;6.10;0
